food_type,weather_condition,packaging_type,city,distance_km,delivery_duration,rating,delay_flag,delivery_speed,complaint
Chinese,Clear,Eco,Hadapsar,13.96,50.35,3.6,0,16.64,0
Dessert,Clear,Bag,Baner,3.81,16.66,4.5,0,13.72,0
Fast Food,Cloudy,Box,Viman Nagar,2.14,16.55,4.9,0,7.76,0
Chinese,Clear,Eco,Wakad,5.75,56.5,2.5,0,6.11,0
Chinese,Cloudy,Box,Hadapsar,3.63,14.74,4.3,0,14.78,0
Dessert,Clear,Eco,Shivaji Nagar,8.38,10.2,4.4,0,49.29,0
Fast Food,Cloudy,Eco,Wakad,10.62,29.45,1.6,0,21.64,0
Fast Food,Cloudy,Bag,Kothrud,7.87,15.19,3.5,0,31.09,0
Chinese,Clear,Plastic,Hadapsar,10.25,53.15,1.7,1,11.57,1
Indian,Clear,Plastic,Hinjewadi,6.11,56.13,2.8,0,6.53,0
Chinese,Clear,Bag,Pimpri,1.39,34.12,4.5,0,2.44,0
Chinese,Cloudy,Eco,Kothrud,14.64,31.27,4.2,1,28.09,0
Chinese,Rainy,Plastic,Baner,12.47,36.95,3.3,0,20.25,0
Chinese,Rainy,Plastic,Hinjewadi,2.03,21.31,4.2,0,5.72,0
Dessert,Clear,Plastic,Hinjewadi,7.29,24.9,1.6,1,17.57,0
Fast Food,Clear,Bag,Wakad,9.89,15.05,1.8,0,39.43,0
Dessert,Clear,Box,Pimpri,3.67,32.32,1.8,1,6.81,1
Dessert,Clear,Box,Shivaji Nagar,9.09,40.58,4.1,1,13.44,0
Dessert,Rainy,Box,Wakad,8.47,56.51,4.6,0,8.99,0
Chinese,Cloudy,Box,Pimpri,3.92,46.95,3.3,0,5.01,0
Indian,Rainy,Box,Hadapsar,2.98,46.15,4.8,0,3.87,0
Fast Food,Clear,Plastic,Baner,11.63,25.4,3.9,0,27.47,0
Indian,Stormy,Plastic,Kothrud,5.52,54.41,3.3,0,6.09,0
Dessert,Cloudy,Eco,Hinjewadi,4.42,57.35,3.4,0,4.62,0
Dessert,Stormy,Plastic,Shivaji Nagar,11.33,56.61,4.4,1,12.01,1
Indian,Rainy,Bag,Wakad,11.3,11.94,1.4,0,56.78,0
Indian,Clear,Eco,Baner,4.87,40.22,1.7,0,7.27,0
Indian,Clear,Plastic,Kothrud,13.22,42.16,2.1,1,18.81,0
Dessert,Cloudy,Eco,Baner,10.64,24.75,4.6,1,25.79,0
Dessert,Clear,Eco,Hinjewadi,5.84,59.62,4.8,0,5.88,0
Fast Food,Clear,Box,Hadapsar,6.98,24.56,2.4,1,17.05,0
Fast Food,Rainy,Eco,Shivaji Nagar,11.17,20.83,4.7,0,32.17,0
Dessert,Rainy,Plastic,Pimpri,3.96,34.21,3.2,0,6.95,0
Indian,Rainy,Box,Shivaji Nagar,7.56,26.16,2.9,0,17.34,0
Indian,Clear,Plastic,Pimpri,10.15,56.2,4.3,0,10.84,0
Fast Food,Clear,Box,Wakad,8.55,32.0,3.2,0,16.03,0
Dessert,Rainy,Plastic,Hadapsar,9.52,30.51,2.8,0,18.72,0
Fast Food,Stormy,Box,Pimpri,8.65,41.29,1.1,0,12.57,0
Fast Food,Cloudy,Box,Hadapsar,3.79,14.06,1.1,0,16.17,0
Chinese,Stormy,Bag,Baner,6.74,47.84,3.5,0,8.45,0
Chinese,Cloudy,Plastic,Shivaji Nagar,8.45,48.42,1.3,1,10.47,1
Chinese,Rainy,Eco,Shivaji Nagar,11.92,33.7,3.9,0,21.22,0
Indian,Clear,Box,Hinjewadi,10.15,57.78,3.5,0,10.54,0
Dessert,Rainy,Plastic,Shivaji Nagar,6.97,38.97,2.8,1,10.73,1
Dessert,Rainy,Box,Baner,14.64,44.76,3.8,1,19.62,1
Dessert,Rainy,Bag,Hinjewadi,2.51,56.22,5.0,0,2.68,0
Dessert,Clear,Bag,Hadapsar,3.9,43.32,2.0,0,5.4,0
Chinese,Rainy,Bag,Viman Nagar,5.78,31.59,3.2,1,10.98,1
Indian,Clear,Bag,Pimpri,4.2,11.24,4.4,0,22.42,0
Indian,Rainy,Eco,Kothrud,9.76,46.41,1.1,0,12.62,0
Chinese,Clear,Eco,Hadapsar,1.55,58.24,1.8,0,1.6,0
Indian,Cloudy,Box,Baner,3.48,33.51,3.1,0,6.23,0
Chinese,Clear,Plastic,Hadapsar,5.11,26.99,3.2,1,11.36,0
Dessert,Clear,Bag,Kothrud,10.57,35.96,1.3,1,17.64,0
Chinese,Clear,Bag,Baner,13.26,46.42,2.6,0,17.14,0
Dessert,Rainy,Eco,Shivaji Nagar,12.18,10.03,3.1,1,72.86,1
Dessert,Clear,Eco,Hadapsar,3.55,54.36,2.7,0,3.92,0
Fast Food,Clear,Bag,Pimpri,8.92,54.32,3.8,0,9.85,0
Chinese,Rainy,Plastic,Wakad,1.42,37.06,4.1,0,2.3,0
Fast Food,Clear,Box,Shivaji Nagar,5.35,16.12,2.8,0,19.91,0
Chinese,Stormy,Box,Shivaji Nagar,12.28,43.59,2.7,0,16.9,0
Chinese,Stormy,Box,Viman Nagar,7.39,16.89,3.8,1,26.25,1
Fast Food,Rainy,Box,Wakad,3.1,35.38,3.2,0,5.26,0
Fast Food,Clear,Plastic,Koregaon Park,7.14,14.68,4.5,1,29.18,0
Chinese,Cloudy,Plastic,Wakad,3.77,39.45,2.9,0,5.73,0
Indian,Clear,Plastic,Viman Nagar,6.5,25.9,3.3,0,15.06,0
Dessert,Clear,Eco,Kothrud,7.83,51.55,1.5,1,9.11,1
Fast Food,Clear,Bag,Viman Nagar,5.89,50.0,4.3,0,7.07,0
Dessert,Stormy,Plastic,Hinjewadi,14.12,59.92,2.7,0,14.14,0
Indian,Clear,Box,Shivaji Nagar,8.88,22.88,3.9,0,23.29,0
Indian,Rainy,Plastic,Koregaon Park,12.8,13.09,2.7,0,58.67,0
Indian,Cloudy,Bag,Viman Nagar,11.65,32.15,1.0,0,21.74,0
Fast Food,Clear,Eco,Pimpri,10.26,14.17,2.6,0,43.44,0
Indian,Clear,Box,Koregaon Park,7.96,18.92,1.6,0,25.24,0
Fast Food,Stormy,Eco,Hinjewadi,1.03,39.87,2.6,0,1.55,0
Indian,Rainy,Plastic,Baner,9.59,39.61,2.3,1,14.53,1
Dessert,Rainy,Box,Pimpri,5.98,12.17,1.8,1,29.48,1
Dessert,Clear,Box,Baner,2.65,32.15,1.5,0,4.95,0
Chinese,Clear,Plastic,Pimpri,7.22,36.51,3.9,1,11.87,0
Dessert,Clear,Plastic,Koregaon Park,11.3,23.4,4.0,1,28.97,0
Chinese,Clear,Bag,Pimpri,14.46,53.6,2.1,0,16.19,0
Dessert,Clear,Plastic,Koregaon Park,6.24,18.05,3.0,0,20.74,0
Fast Food,Cloudy,Plastic,Kothrud,8.6,22.7,2.9,0,22.73,0
Dessert,Clear,Plastic,Baner,12.92,17.85,2.4,1,43.43,0
Chinese,Clear,Box,Hadapsar,5.68,15.83,2.1,0,21.53,0
Chinese,Rainy,Bag,Hinjewadi,2.99,53.95,1.7,0,3.33,0
Indian,Cloudy,Box,Pimpri,4.95,23.89,4.5,0,12.43,0
Fast Food,Clear,Plastic,Koregaon Park,13.59,46.13,4.3,1,17.68,0
Dessert,Rainy,Bag,Hinjewadi,3.23,31.4,2.7,0,6.17,0
Indian,Clear,Plastic,Wakad,5.61,41.79,3.9,0,8.05,0
Dessert,Clear,Box,Pimpri,7.5,56.41,3.0,1,7.98,0
Dessert,Clear,Box,Viman Nagar,12.86,52.23,1.3,1,14.77,1
Indian,Cloudy,Plastic,Shivaji Nagar,14.13,13.45,4.3,1,63.03,0
Indian,Clear,Bag,Hadapsar,6.96,52.26,1.9,1,7.99,1
Indian,Clear,Box,Kothrud,14.05,32.59,3.8,1,25.87,0
Indian,Clear,Plastic,Koregaon Park,3.26,27.51,3.1,1,7.11,0
Indian,Cloudy,Eco,Koregaon Park,3.2,43.62,3.8,1,4.4,0
Dessert,Clear,Plastic,Wakad,14.29,57.51,2.9,1,14.91,1
Indian,Clear,Plastic,Wakad,8.14,14.71,3.8,0,33.2,0
