order_time,delivery_time,driver_rating,food_type,distance_km,weather_condition,packaging_type,customer_past_complaints,city,complaint
09-07-2025 20:33,09-07-2025 21:34,1.7,Indian,4.45,Storm,Box,1,Bavdhan,0
10-07-2025 00:15,10-07-2025 00:59,2.2,Pizza,5.32,Rain,Box,3,Hinjewadi,1
10-07-2025 05:48,10-07-2025 06:45,3.5,Pizza,12.88,Rain,Foil,2,Magarpatta,0
09-07-2025 23:17,09-07-2025 23:40,1.3,Chinese,1.08,Clear,Plastic,2,Magarpatta,1
09-07-2025 14:28,09-07-2025 14:50,4.7,Chinese,7.21,Fog,Box,0,Baner,0
10-07-2025 00:10,10-07-2025 01:15,4.7,Sandwich,9.47,Fog,Plastic,5,Pimple Saudagar,0
09-07-2025 07:25,09-07-2025 07:52,2.4,Burger,6.56,Storm,Foil,4,Camp,1
09-07-2025 00:04,09-07-2025 00:54,5,Dessert,7.49,Fog,Plastic,1,Pimple Saudagar,0
08-07-2025 12:10,08-07-2025 13:06,3.8,Chinese,14.25,Fog,Paper,2,Camp,1
08-07-2025 21:54,08-07-2025 22:38,4.7,Indian,14.88,Rain,Foil,1,Hadapsar,0
09-07-2025 13:05,09-07-2025 14:28,4,Burger,12.12,Rain,Plastic,3,Magarpatta,1
09-07-2025 11:23,09-07-2025 12:53,3.1,Burger,8.78,Storm,Box,4,Bavdhan,0
09-07-2025 09:43,09-07-2025 10:59,3.2,Sandwich,12.9,Rain,Plastic,1,Hinjewadi,1
09-07-2025 23:48,10-07-2025 01:10,4.6,Dessert,14.81,Storm,Box,5,Camp,1
10-07-2025 03:30,10-07-2025 04:51,3.1,Pizza,6.19,Storm,Foil,2,Hinjewadi,1
09-07-2025 14:10,09-07-2025 15:30,2.8,Dessert,1.96,Storm,Box,4,Pashan,1
10-07-2025 09:52,10-07-2025 10:19,1.5,Chinese,13.27,Rain,Plastic,5,Pimple Saudagar,1
10-07-2025 03:18,10-07-2025 03:56,2.4,Pizza,5.29,Rain,Plastic,4,Wakad,1
09-07-2025 20:27,09-07-2025 20:48,3.7,Burger,13.69,Storm,Box,0,Pashan,0
09-07-2025 14:42,09-07-2025 15:30,4.7,Pizza,8.59,Fog,Box,3,Hinjewadi,0
10-07-2025 08:51,10-07-2025 10:16,1.6,Pizza,9.53,Rain,Foil,0,Pashan,1
10-07-2025 04:19,10-07-2025 05:40,4.8,Burger,6.87,Storm,Plastic,3,Bavdhan,0
09-07-2025 23:42,10-07-2025 00:19,2.4,Chinese,6.07,Storm,Foil,1,Pimple Saudagar,0
09-07-2025 12:39,09-07-2025 13:05,4.5,Burger,5.05,Storm,Plastic,0,Kharadi,1
09-07-2025 13:47,09-07-2025 14:48,2.6,Chinese,10.21,Fog,Plastic,1,Aundh,0
09-07-2025 05:41,09-07-2025 06:46,1,Dessert,14.62,Storm,Box,5,Kharadi,1
08-07-2025 20:58,08-07-2025 21:56,5,Pizza,1.48,Rain,Plastic,1,Wakad,1
10-07-2025 04:17,10-07-2025 05:04,4.7,Indian,10.16,Fog,Plastic,1,Baner,1
09-07-2025 18:45,09-07-2025 19:05,4.3,Indian,10.82,Storm,Box,3,Magarpatta,1
09-07-2025 16:53,09-07-2025 18:13,1.1,Burger,13.04,Fog,Foil,3,Shivaji Nagar,1
