order_time,delivery_time,driver_rating,food_type,distance_km,weather_condition,packaging_type,customer_past_complaints,city,complaint
2025-07-08 16:03:42,2025-07-08 16:31:42,2.5,Indian,5.6,Rain,Plastic,0,Kothrud,0
2025-07-08 14:25:07,2025-07-08 15:38:07,2.7,Chinese,6.26,Fog,Box,3,Magarpatta,1
2025-07-09 01:03:42,2025-07-09 02:03:42,1.9,Chinese,1.54,Clear,Plastic,4,Shivaji Nagar,1
2025-07-09 01:30:43,2025-07-09 02:59:43,1.8,Indian,11.78,Fog,Foil,5,Kharadi,0
2025-07-10 09:36:34,2025-07-10 10:13:34,4.6,Pizza,14.47,Storm,Foil,5,Shivaji Nagar,0
2025-07-09 00:44:07,2025-07-09 01:49:07,3.9,Dessert,9.45,Rain,Plastic,3,Camp,0
2025-07-10 06:37:50,2025-07-10 07:43:50,4.7,Pizza,7.31,Fog,Plastic,1,Pashan,0
2025-07-10 05:19:20,2025-07-10 05:44:20,4.1,Burger,2.84,Storm,Paper,3,Kharadi,0
2025-07-08 19:02:41,2025-07-08 19:54:41,4.3,Burger,11.51,Clear,Plastic,0,Camp,1
2025-07-09 02:09:15,2025-07-09 02:48:15,2.7,Burger,7.2,Storm,Plastic,2,Kharadi,1
2025-07-10 05:43:46,2025-07-10 06:39:46,1.6,Burger,12.46,Rain,Box,2,Aundh,1
2025-07-09 01:07:57,2025-07-09 01:58:57,1.0,Indian,7.92,Fog,Plastic,5,Baner,1
2025-07-10 04:30:31,2025-07-10 05:43:31,2.8,Sandwich,5.57,Fog,Plastic,4,Shivaji Nagar,1
2025-07-10 00:13:21,2025-07-10 00:44:21,4.9,Chinese,8.05,Fog,Paper,1,Baner,0
2025-07-09 23:48:22,2025-07-10 01:10:22,4.6,Dessert,14.81,Storm,Box,5,Camp,1
2025-07-08 16:25:30,2025-07-08 16:50:30,1.5,Dessert,4.15,Fog,Foil,3,Aundh,0
2025-07-08 18:09:29,2025-07-08 19:15:29,4.3,Sandwich,12.0,Storm,Foil,1,Kharadi,1
2025-07-08 13:02:51,2025-07-08 14:09:51,2.4,Burger,12.32,Clear,Box,3,Wakad,1
2025-07-08 21:18:19,2025-07-08 21:42:19,4.1,Sandwich,6.29,Storm,Foil,2,Pashan,0
2025-07-09 19:24:23,2025-07-09 19:50:23,1.7,Pizza,9.34,Rain,Plastic,5,Pashan,1
2025-07-10 00:07:02,2025-07-10 00:33:02,1.7,Pizza,8.54,Storm,Plastic,5,Kharadi,1
2025-07-08 17:42:50,2025-07-08 18:43:50,3.3,Indian,8.02,Fog,Plastic,3,Pimple Saudagar,1
2025-07-10 09:21:56,2025-07-10 10:00:56,4.9,Sandwich,11.71,Fog,Foil,4,Hadapsar,0
2025-07-08 11:51:57,2025-07-08 12:11:57,3.4,Sandwich,12.84,Storm,Foil,4,Magarpatta,1
2025-07-08 18:44:35,2025-07-08 19:11:35,1.1,Burger,14.94,Fog,Foil,5,Bavdhan,1
2025-07-09 16:24:00,2025-07-09 17:24:00,4.2,Chinese,13.76,Rain,Foil,5,Hadapsar,1
2025-07-10 04:17:56,2025-07-10 05:04:56,4.7,Indian,10.16,Fog,Plastic,1,Baner,1
2025-07-09 07:46:26,2025-07-09 08:25:26,3.1,Indian,4.18,Fog,Foil,4,Hadapsar,0
2025-07-09 15:35:09,2025-07-09 16:56:09,4.9,Pizza,9.0,Storm,Paper,0,Koregaon Park,1
2025-07-09 13:13:10,2025-07-09 14:01:10,4.8,Burger,2.47,Storm,Box,5,Bavdhan,1
2025-07-09 15:00:17,2025-07-09 15:44:17,3.6,Sandwich,6.4,Clear,Foil,4,Baner,0
2025-07-09 09:57:26,2025-07-09 10:55:26,2.2,Chinese,2.76,Clear,Paper,1,Aundh,1
2025-07-08 20:53:10,2025-07-08 21:40:10,2.4,Sandwich,12.03,Rain,Box,0,Magarpatta,1
2025-07-09 18:49:29,2025-07-09 20:03:29,3.9,Sandwich,2.93,Rain,Foil,1,Baner,1
2025-07-09 20:27:20,2025-07-09 20:48:20,3.7,Burger,13.69,Storm,Box,0,Pashan,0
2025-07-09 07:22:57,2025-07-09 07:58:57,1.2,Dessert,7.67,Fog,Foil,2,Koregaon Park,1
2025-07-09 03:01:48,2025-07-09 04:29:48,4.9,Pizza,7.36,Storm,Box,2,Camp,0
2025-07-10 03:06:16,2025-07-10 04:12:16,1.2,Burger,11.29,Clear,Foil,4,Aundh,0
2025-07-10 01:32:12,2025-07-10 02:16:12,2.0,Indian,12.5,Rain,Paper,5,Hadapsar,0
2025-07-08 15:24:27,2025-07-08 16:09:27,3.1,Sandwich,5.62,Rain,Plastic,1,Shivaji Nagar,0
2025-07-09 18:33:35,2025-07-09 19:35:35,1.7,Chinese,4.09,Fog,Plastic,5,Wakad,1
2025-07-10 04:50:37,2025-07-10 05:46:37,4.7,Pizza,14.2,Clear,Plastic,3,Koregaon Park,0
2025-07-09 00:16:29,2025-07-09 01:26:29,1.7,Dessert,10.46,Storm,Box,1,Pashan,1
2025-07-10 06:52:36,2025-07-10 08:09:36,3.1,Pizza,13.13,Rain,Plastic,4,Shivaji Nagar,1
2025-07-10 06:09:36,2025-07-10 06:51:36,4.1,Burger,7.78,Rain,Box,4,Wakad,1
2025-07-08 19:37:07,2025-07-08 20:49:07,4.8,Dessert,8.75,Storm,Plastic,4,Kharadi,1
2025-07-09 03:40:45,2025-07-09 04:35:45,3.6,Indian,4.12,Rain,Plastic,2,Hadapsar,0
2025-07-09 21:20:23,2025-07-09 21:56:23,1.3,Burger,6.96,Fog,Box,3,Koregaon Park,1
2025-07-09 22:21:55,2025-07-09 22:47:55,1.7,Chinese,4.08,Rain,Box,0,Viman Nagar,1
2025-07-08 20:44:50,2025-07-08 21:18:50,1.6,Dessert,11.26,Fog,Box,5,Shivaji Nagar,0
2025-07-09 17:47:53,2025-07-09 18:32:53,4.0,Chinese,10.27,Fog,Paper,3,Pimple Saudagar,0
