driver_rating,food_type,distance_km,weather_condition,packaging_type,customer_past_complaints,city,delivery_duration,complaint
3.8,Indian,8.99,Fog,Paper,1,Shivaji Nagar,67.4,1
3.8,Pizza,4.35,Rain,Foil,3,Pimpri,16.8,0
1.7,Chinese,10.67,Rain,Plastic,5,Pimpri,73.6,0
4.3,Pizza,14.16,Storm,Box,5,Hinjewadi,74.0,0
4.4,Biryani,6.59,Rain,Box,2,Hinjewadi,63.2,0
2.7,Chinese,18.45,Fog,Box,3,Viman Nagar,41.0,1
4.4,Chinese,10.03,Storm,Box,2,Kothrud,69.1,0
4.0,Burger,16.94,Fog,Paper,5,Kothrud,63.2,0
2.3,South Indian,19.25,Storm,Box,5,Shivaji Nagar,70.4,1
4.9,South Indian,11.27,Rain,Foil,1,Viman Nagar,14.1,0
2.1,Biryani,18.15,Storm,Foil,3,Baner,31.0,0
1.4,Indian,1.15,Rain,Foil,3,Wakad,70.4,1
4.1,Indian,19.72,Clear,Plastic,2,Shivaji Nagar,19.8,0
2.4,Chinese,18.05,Clear,Box,2,Pimpri,22.8,0
4.1,Pizza,15.69,Clear,Paper,5,Swargate,67.0,0
4.8,Burger,9.27,Clear,Box,4,Viman Nagar,36.7,1
3.1,South Indian,6.74,Clear,Box,4,Baner,57.8,0
1.2,Chinese,18.43,Clear,Box,1,Shivaji Nagar,67.8,1
1.5,Burger,13.18,Fog,Plastic,1,Pimpri,12.4,1
1.3,Indian,12.72,Clear,Foil,1,Kothrud,28.3,1
3.5,Chinese,6.8,Rain,Plastic,2,Kothrud,35.4,1
4.0,South Indian,0.58,Storm,Plastic,4,Swargate,34.1,0
4.1,Burger,11.9,Storm,Foil,0,Hinjewadi,89.6,0
4.5,Indian,14.19,Fog,Box,4,Viman Nagar,84.5,1
3.9,Indian,18.72,Fog,Foil,2,Baner,62.8,0
3.5,Pizza,8.14,Fog,Paper,1,Baner,67.1,1
3.9,Burger,10.35,Storm,Box,2,Pimpri,64.2,0
4.6,Chinese,13.35,Storm,Paper,5,Kothrud,29.9,1
3.2,Biryani,7.35,Fog,Paper,3,Wakad,35.7,1
1.1,Biryani,6.74,Rain,Foil,4,Hinjewadi,34.5,1
3.2,Burger,13.45,Rain,Foil,3,Wakad,81.9,0
2.5,Chinese,19.39,Clear,Foil,0,Koregaon Park,71.8,0
3.4,South Indian,11.1,Fog,Paper,3,Hadapsar,43.9,0
2.8,Burger,15.95,Rain,Paper,4,Koregaon Park,41.4,0
1.2,South Indian,12.99,Fog,Paper,5,Shivaji Nagar,30.1,1
3.0,Pizza,13.27,Rain,Plastic,3,Viman Nagar,47.8,0
3.3,Burger,7.91,Fog,Foil,4,Viman Nagar,27.2,0
4.3,South Indian,13.2,Clear,Foil,1,Hadapsar,44.0,0
1.7,Pizza,3.2,Fog,Foil,5,Baner,22.5,0
1.7,Indian,3.44,Rain,Box,5,Kothrud,67.1,1
3.3,South Indian,1.92,Fog,Box,4,Swargate,79.5,0
1.3,Indian,6.67,Fog,Paper,1,Pimpri,31.4,0
2.7,Chinese,9.03,Clear,Foil,4,Kothrud,74.1,1
1.5,Pizza,18.03,Fog,Paper,2,Kothrud,60.8,0
2.8,Biryani,19.01,Rain,Box,5,Baner,59.8,1
1.1,Indian,3.25,Clear,Box,0,Wakad,71.7,0
2.5,Chinese,4.13,Fog,Box,0,Shivaji Nagar,87.3,0
4.7,Pizza,5.12,Clear,Plastic,2,Swargate,88.8,0
1.2,Burger,7.08,Storm,Box,5,Viman Nagar,12.5,0
4.3,Indian,19.94,Fog,Box,4,Viman Nagar,26.5,0
3.8,Indian,19.51,Clear,Paper,4,Viman Nagar,27.5,0
2.3,Chinese,12.08,Storm,Plastic,3,Shivaji Nagar,46.3,1
4.8,Pizza,10.8,Fog,Plastic,2,Swargate,11.6,0
1.9,South Indian,1.08,Rain,Box,2,Swargate,27.3,1
2.7,Biryani,4.35,Rain,Foil,5,Shivaji Nagar,26.1,0
2.4,Pizza,17.33,Rain,Foil,2,Hinjewadi,47.5,1
3.5,Indian,13.39,Rain,Plastic,5,Kothrud,57.2,0
1.9,Chinese,15.03,Rain,Foil,2,Shivaji Nagar,58.2,1
2.7,South Indian,10.44,Fog,Box,2,Hadapsar,36.5,0
4.1,Chinese,17.56,Clear,Paper,1,Viman Nagar,78.6,0
3.6,South Indian,7.34,Clear,Box,0,Pimpri,80.4,0
1.8,Pizza,1.32,Clear,Paper,0,Viman Nagar,64.4,1
1.1,Pizza,0.93,Rain,Foil,3,Hadapsar,32.4,1
1.4,Pizza,8.31,Rain,Foil,0,Kothrud,16.1,0
2.5,Burger,9.61,Storm,Plastic,1,Hadapsar,72.4,0
1.1,South Indian,9.16,Rain,Foil,4,Viman Nagar,87.0,1
1.7,Chinese,10.67,Rain,Plastic,5,Pimpri,73.6,0
1.6,Burger,17.85,Storm,Foil,1,Baner,67.5,1
1.6,Burger,8.39,Rain,Box,2,Hinjewadi,57.8,1
3.3,Indian,19.0,Clear,Paper,3,Baner,12.8,0
3.0,Biryani,2.25,Clear,Box,5,Viman Nagar,81.3,0
1.6,Burger,17.74,Storm,Foil,3,Pimpri,85.0,0
4.8,Biryani,2.65,Clear,Plastic,5,Shivaji Nagar,75.9,0
2.3,South Indian,9.39,Clear,Plastic,4,Hinjewadi,24.5,0
2.8,South Indian,18.64,Fog,Plastic,2,Hinjewadi,13.6,0
1.4,Burger,12.86,Storm,Plastic,1,Hinjewadi,69.6,1
4.4,Chinese,8.0,Fog,Paper,4,Hinjewadi,73.3,0
1.9,Pizza,19.6,Storm,Plastic,4,Viman Nagar,85.1,1
2.6,Biryani,17.68,Storm,Plastic,5,Hadapsar,81.2,1
4.6,Biryani,19.16,Storm,Plastic,0,Pimpri,28.5,0
4.6,Pizza,6.95,Fog,Paper,5,Wakad,58.1,1
4.2,Biryani,14.42,Rain,Box,4,Koregaon Park,71.5,0
4.9,Chinese,11.43,Rain,Foil,3,Pimpri,86.2,0
2.6,Burger,12.85,Clear,Plastic,5,Kothrud,57.0,0
2.4,Indian,14.3,Clear,Foil,0,Shivaji Nagar,30.2,0
1.3,Chinese,8.7,Storm,Paper,2,Kothrud,33.3,0
4.9,Chinese,10.26,Storm,Plastic,0,Viman Nagar,79.3,0
4.5,Pizza,15.8,Clear,Paper,0,Koregaon Park,82.7,0
2.2,Burger,6.73,Fog,Box,5,Pimpri,10.0,1
2.9,Pizza,19.5,Storm,Plastic,4,Baner,49.0,1
1.7,Indian,7.46,Rain,Plastic,1,Baner,43.1,1
3.6,Burger,17.39,Clear,Box,2,Koregaon Park,85.2,1
