driver_rating,food_type,weather_condition,packaging_type,customer_past_complaints,city,delivery_duration,complaint
3.1,Veg,Clear,Foil,1,Swargate,19.7,0
3.4,Veg,Fog,Plastic,0,Baner,42.0,0
1.1,Veg,Rain,Paper,5,Wakad,23.9,1
1.2,Veg,Rain,Plastic,3,Wakad,43.5,1
3.3,Veg,Clear,Plastic,4,Koregaon Park,49.5,1
3.3,Non-Veg,Clear,Paper,3,Hadapsar,71.7,1
4.9,Non-Veg,Fog,Plastic,0,Koregaon Park,63.6,0
2.7,Non-Veg,Rain,Box,0,Baner,16.9,0
1.0,Veg,Fog,Paper,4,Swargate,89.4,1
1.0,Non-Veg,Fog,Paper,2,Shivaji Nagar,39.0,1
2.6,Veg,Clear,Paper,2,Kothrud,60.2,0
1.9,Veg,Storm,Paper,1,Hinjewadi,42.3,0
3.1,Non-Veg,Fog,Paper,5,Hinjewadi,36.6,0
2.1,Veg,Clear,Paper,2,Koregaon Park,14.4,1
4.2,Non-Veg,Fog,Paper,0,Hadapsar,52.3,0
1.3,Veg,Fog,Foil,0,Swargate,76.7,1
4.1,Veg,Clear,Plastic,0,Viman Nagar,12.6,0
4.2,Veg,Rain,Box,4,Koregaon Park,24.3,1
3.4,Veg,Clear,Plastic,1,Shivaji Nagar,26.2,0
4.2,Veg,Fog,Paper,4,Baner,62.7,0
4.7,Veg,Fog,Foil,1,Pimpri,21.6,0
3.8,Veg,Clear,Box,4,Pimpri,27.3,0
4.3,Veg,Fog,Paper,2,Hadapsar,25.6,0
2.4,Veg,Clear,Plastic,0,Hinjewadi,78.8,1
2.9,Non-Veg,Clear,Foil,5,Kothrud,56.7,1
3.3,Veg,Rain,Foil,1,Swargate,46.6,1
3.0,Non-Veg,Rain,Paper,4,Shivaji Nagar,88.8,1
2.3,Non-Veg,Storm,Paper,0,Hadapsar,60.7,0
1.8,Veg,Rain,Plastic,2,Swargate,70.3,0
2.1,Veg,Rain,Plastic,5,Pimpri,19.5,1
4.6,Non-Veg,Storm,Paper,0,Pimpri,28.1,0
1.5,Veg,Rain,Paper,5,Hadapsar,87.2,0
2.4,Non-Veg,Rain,Paper,3,Hinjewadi,72.5,0
2.1,Veg,Fog,Box,1,Koregaon Park,56.3,1
1.7,Non-Veg,Storm,Box,0,Pimpri,22.8,1
1.7,Veg,Rain,Box,3,Hinjewadi,24.7,0
4.0,Non-Veg,Storm,Box,5,Hadapsar,68.5,1
3.8,Veg,Storm,Box,0,Kothrud,71.4,0
4.2,Non-Veg,Clear,Box,1,Kothrud,34.8,0
4.8,Non-Veg,Rain,Box,2,Viman Nagar,70.3,0
1.3,Veg,Fog,Foil,5,Pimpri,32.8,0
1.7,Non-Veg,Rain,Paper,5,Hadapsar,69.9,1
4.1,Veg,Clear,Plastic,2,Shivaji Nagar,19.8,0
4.5,Veg,Rain,Box,5,Kothrud,81.4,1
4.7,Veg,Rain,Paper,2,Pimpri,13.1,0
1.5,Veg,Rain,Paper,4,Viman Nagar,27.3,1
1.4,Veg,Fog,Paper,4,Hinjewadi,56.4,1
2.1,Veg,Clear,Foil,0,Pimpri,24.3,0
4.8,Veg,Clear,Plastic,3,Kothrud,23.1,0
2.3,Veg,Rain,Paper,1,Kothrud,31.2,1
3.9,Non-Veg,Fog,Foil,4,Koregaon Park,20.3,0
4.5,Veg,Storm,Plastic,1,Baner,65.1,0
1.4,Veg,Clear,Box,5,Viman Nagar,21.9,0
3.4,Veg,Clear,Paper,3,Pimpri,30.9,0
2.5,Veg,Rain,Paper,3,Viman Nagar,48.3,0
5.0,Non-Veg,Fog,Foil,5,Swargate,62.5,1
1.2,Non-Veg,Clear,Box,2,Hadapsar,76.1,0
2.3,Veg,Clear,Paper,4,Kothrud,36.6,1
2.1,Veg,Rain,Foil,3,Hinjewadi,30.4,0
1.2,Non-Veg,Clear,Foil,5,Wakad,75.4,1
4.9,Veg,Clear,Box,4,Shivaji Nagar,17.5,0
1.6,Veg,Storm,Box,0,Pimpri,55.4,1
1.8,Non-Veg,Clear,Plastic,0,Pimpri,71.8,0
2.2,Non-Veg,Fog,Box,3,Wakad,53.5,0
2.6,Veg,Clear,Plastic,1,Pimpri,50.4,0
3.2,Non-Veg,Fog,Plastic,0,Hinjewadi,87.0,1
4.1,Non-Veg,Rain,Plastic,3,Viman Nagar,75.8,0
1.8,Veg,Rain,Box,3,Shivaji Nagar,74.8,1
1.7,Veg,Storm,Box,1,Wakad,22.6,0
3.7,Veg,Clear,Box,4,Koregaon Park,34.1,0
2.6,Non-Veg,Storm,Plastic,0,Pimpri,55.8,0
1.9,Non-Veg,Storm,Paper,3,Kothrud,35.8,0
2.1,Non-Veg,Rain,Box,4,Koregaon Park,40.6,1
3.1,Veg,Clear,Box,5,Swargate,70.3,0
4.4,Veg,Storm,Plastic,3,Shivaji Nagar,57.7,0
4.9,Veg,Clear,Foil,5,Viman Nagar,58.4,0
4.5,Non-Veg,Fog,Foil,4,Shivaji Nagar,76.1,1
2.3,Veg,Rain,Box,1,Koregaon Park,25.1,1
3.4,Non-Veg,Rain,Foil,1,Swargate,49.0,0
3.2,Non-Veg,Storm,Box,2,Baner,74.8,1
1.3,Veg,Storm,Box,2,Wakad,72.8,1
4.8,Veg,Clear,Foil,2,Kothrud,36.5,0
1.1,Non-Veg,Fog,Plastic,0,Viman Nagar,78.3,0
3.5,Veg,Rain,Paper,3,Viman Nagar,80.0,0
4.2,Non-Veg,Storm,Paper,4,Hadapsar,25.2,0
4.6,Non-Veg,Rain,Foil,3,Kothrud,76.6,0
1.9,Veg,Fog,Foil,2,Swargate,49.4,0
3.7,Veg,Clear,Foil,2,Koregaon Park,73.4,0
2.1,Non-Veg,Storm,Foil,3,Baner,31.0,0
4.5,Veg,Rain,Foil,3,Baner,81.0,1
1.1,Veg,Clear,Plastic,0,Hadapsar,44.6,1
3.7,Non-Veg,Clear,Plastic,0,Koregaon Park,19.0,0
2.9,Veg,Fog,Paper,3,Baner,30.0,0
1.9,Non-Veg,Fog,Foil,5,Hinjewadi,21.6,1
2.8,Veg,Rain,Paper,5,Kothrud,36.2,1
3.3,Non-Veg,Rain,Foil,5,Kothrud,75.5,1
4.3,Non-Veg,Rain,Foil,5,Shivaji Nagar,82.1,1
4.5,Non-Veg,Clear,Foil,0,Viman Nagar,25.2,0
1.8,Veg,Rain,Plastic,4,Shivaji Nagar,34.7,0
2.6,Veg,Fog,Foil,5,Viman Nagar,15.7,0
3.1,Non-Veg,Clear,Plastic,3,Hinjewadi,36.9,0
